2026-08-01 15:37:11 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:05:17 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:06:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:07:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:08:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:09:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:10:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:11:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:12:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:13:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:14:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:15:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:16:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:17:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:18:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:19:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:20:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:21:18 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:22:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:23:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:24:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:25:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:26:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:27:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:28:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:29:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:30:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:31:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:32:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:33:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:34:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:35:19 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:36:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:37:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:38:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:39:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:40:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:41:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:42:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:43:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:44:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:45:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:46:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:47:20 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:48:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:49:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:50:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:51:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:52:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:53:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:54:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:55:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:56:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:57:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:58:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 17:59:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:00:21 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:01:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:02:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:03:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:04:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:05:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:06:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:07:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:08:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:09:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:10:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:11:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:12:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:13:22 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:14:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:15:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:16:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:17:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:18:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:19:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:20:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:21:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:22:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:23:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:24:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:25:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:26:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:27:23 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:28:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:29:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:30:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:31:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:32:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:33:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:34:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:35:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:36:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:37:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:38:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:39:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:40:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:41:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:42:24 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:43:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:44:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:45:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:46:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:47:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:48:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:49:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:50:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:51:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:52:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:53:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:54:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:55:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:56:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:57:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:58:25 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 18:59:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:00:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:01:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:02:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:03:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:04:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:05:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:06:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:07:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:08:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:09:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:10:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:11:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:12:26 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:13:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:14:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:15:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:16:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:17:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:18:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:19:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:20:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:21:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:22:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:23:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:24:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:25:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:26:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:27:27 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:28:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:29:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:30:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:31:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:32:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:33:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:34:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:35:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:36:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:37:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:38:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:39:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:40:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:41:28 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:42:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:43:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:44:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:45:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:46:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:47:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:48:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:49:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:50:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:51:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:52:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:53:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:54:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:55:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:56:29 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:57:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:58:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 19:59:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:00:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:01:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:02:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:03:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:04:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:05:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:06:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:07:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:08:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:09:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:10:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:11:30 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:12:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:13:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:14:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:15:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:16:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:17:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:18:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:19:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
2026-08-01 20:20:31 Qwen/Qwen2.5-VL-7B-Instruct already downloading in another queue; waiting
