2026-08-01 15:37:11 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:05:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:06:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:07:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:08:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:09:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:10:13 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:11:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:12:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:13:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:14:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:15:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:16:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:17:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:18:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:19:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:20:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:21:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:22:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:23:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:24:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:25:14 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:26:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:27:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:28:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:29:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:30:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:31:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:32:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:33:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:34:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:35:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:36:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:37:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:38:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:39:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:40:15 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:41:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:42:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:43:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:44:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:45:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:46:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:47:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:48:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:49:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:50:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:51:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:52:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:53:16 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:54:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:55:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:56:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:57:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:58:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 16:59:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:00:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:01:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:02:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:03:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:04:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:05:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:06:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:07:17 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:08:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:09:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:10:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:11:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:12:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:13:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:14:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:15:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:16:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:17:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:18:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:19:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:20:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:21:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:22:18 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:23:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:24:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:25:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:26:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:27:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:28:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:29:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:30:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:31:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:32:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:33:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:34:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:35:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:36:19 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:37:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:38:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:39:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:40:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:41:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:42:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:43:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:44:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:45:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:46:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:47:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:48:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:49:20 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:50:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:51:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:52:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:53:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:54:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:55:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:56:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:57:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:58:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 17:59:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:00:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:01:21 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:02:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:03:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:04:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:05:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:06:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:07:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:08:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:09:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:10:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:11:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:12:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:13:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:14:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:15:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:16:22 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:17:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:18:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:19:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:20:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:21:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:22:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:23:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:24:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:25:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:26:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:27:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:28:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:29:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:30:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:31:23 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:32:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:33:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:34:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:35:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:36:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:37:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:38:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:39:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:40:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:41:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:42:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:43:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:44:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:45:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:46:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:47:24 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:48:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:49:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:50:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:51:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:52:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:53:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:54:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:55:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:56:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:57:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:58:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 18:59:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:00:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:01:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:02:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:03:25 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:04:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:05:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:06:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:07:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:08:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:09:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:10:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:11:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:12:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:13:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:14:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:15:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:16:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:17:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:18:26 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:19:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:20:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:21:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:22:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:23:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:24:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:25:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:26:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:27:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:28:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:29:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:30:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:31:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:32:27 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:33:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:34:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:35:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:36:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:37:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:38:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:39:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:40:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:41:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:42:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:43:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:44:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:45:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:46:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:47:28 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:48:29 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
2026-08-01 19:49:29 deepseek-ai/DeepSeek-R1-Distill-Qwen-14B already downloading in another queue; waiting
